creator,firstowner,owner,occupant,routename,nameabbrev,globalid
"Domingos Monteiro, Joaquim Cândido Guilhobel",,,,,,{BDFE78D8-6BDC-44CE-ABEE-04BF258C420F}
Grandjean de Montigny,Royal Government,Federal Government,,,,{0652B5AA-4217-4015-B275-0F1853403206}
,Portuguese Crown,Portuguese Crown,,,,{6F204864-050B-480A-9703-266EE63B7A4C}
,Federal Government,Federal Government,,,,{20959316-34F1-45AA-B223-AF3ABA4DBAF5}
,Archdiocese of Rio de Janeiro,Archdiocese of Rio de Janeiro,,,,{73656B75-7F6C-4B07-AE86-A29D02FB47EE}
,Federal Government,Federal Government,,,,{0BF02F45-065B-4530-853F-298176777900}
Grandjean de Montigny,Royal Government,Banco do Brasil,,,,{1A88DD32-D73A-49B2-979E-57F471209813}
Marques dos Santos,Carmelite Order,Archdiocese of Rio de Janeiro,,,,{C738F4F1-BD45-4875-A041-89F177489DB4}
"Domingos Monteiro, Joaquim Cândido Guilhobel, José Maria Jacintho Rebello",,,,,,{EB107A33-8508-49DD-9345-EA5CAE7013B5}
Francisco Frias de Mesquita,Benedictine Order,Benedictine Order,Benedictine Order,,,{C5918EBC-4EC1-4D8D-9603-6B87528BF7D9}
José Fernandes Pinto Alpoim,Portuguese Crown,Royal Government,Dom João VI,,,{884A9A16-FF42-432C-9A83-4D01DF8377CE}
Grandjean de Montigny,Royal Government,Royal Government,,,,{5266F4FF-3449-41A4-B0DB-6C7D6B4C63DA}
Grandjean de Montigny,Royal Government,Federal Government,,,,{408714C5-1DA1-4CB9-8B8A-F127DC6B5C15}
Marques dos Santos,Carmelite Order,Carmelite Order,,,,{53E4721F-1109-4DC9-AA62-0F9E2A8ABA17}
"Francisco dos Santos, et al.",Franciscan Order,Franciscan Order,,,,{9042F448-B40C-4DD0-BEC4-CD9BBE07A98A}
,Jesuit Order,Jesuit Order,,,,{0C21A7D6-66C8-41BD-828E-1C78C1054DA9}
Francisco Frias de Mesquita,Benedictine Order,Benedictine Order,Benedictine Order,,,{B15033EE-5310-4BAF-B62D-09A0E55B5DC5}
Grandjean de Montigny,Royal Government,Royal Government,,,,{A7E450DF-ECCA-491B-A9D8-6806B441CEA3}
Grandjean de Montigny,Royal Government,Federal Government,,,,{9B5BAC81-6E84-4943-A6BD-02259B6B1019}
José Fernandes Pinto Alpoim,Portuguese Crown,Portuguese Crown,,,,{D5C6178D-6C24-4A5F-A9C2-0F4B742FDF11}
José Fernandes Pinto Alpoim,Portuguese Crown,Federal Government,IPHAN,,,{51C68428-920B-432B-B91C-D78A4A9D5FEC}
José Fernandes Pinto Alpoim,Archdiocese of Rio de Janeiro,,,,,{CFAB9E38-624E-4DBA-869D-9864F440622E}
José Fernandes Pinto Alpoim,Portuguese Crown,Federal Government,,,,{146FD8BD-6827-4F4C-BE72-C3F10A483B48}
,,,,Linha 1,,{B764FDA5-B119-4E76-BDCF-60CD1EBDA804}
,,,,Linha 1,,{2C76BC21-E696-4D8A-8644-E8C2AD9B7437}
,,,,Linha 1,,{3C769F13-083D-4256-B3A5-8BFD89E32670}
,,,,Linha 1,,{921ED228-52FE-4986-9F45-3E596A9F3799}
,,,,Linha 1,,{E12BBCDD-8412-40CF-B641-0B2024031880}
,,,,Linha 1,,{945CC06E-59DE-41B9-9B52-EC37D5F432C7}
,,,,Linha 1,,{3D2E6AAE-2F79-485B-B865-E6CCC51139E2}
,,,,Linha 1,,{9BB76BA6-2BA6-44E8-9597-D10BAF3EE532}
,,,,Linha 1,,{62A54E43-4F28-4292-8091-6B8D7900D3D7}
,,,,Linha 1- Estacao de Transferencia,,{A5712D94-471A-467B-9F42-3CD4DEA70F66}
,,,,Linha 1,,{22373259-2E2E-494E-B757-C153C1BB04B3}
,,,,Linha 2,,{6758CF1A-2880-4BCE-94CB-46373F556167}
,,,,Linha 1,,{4936C021-E946-47CB-A5ED-183ACE1E6C17}
,,,,Linha 2,,{29F32628-15FA-46E1-9A72-B6FB877A2CF6}
,,,,Linha 1,,{75101AE0-38A7-4908-807D-F1DB3808F5F0}
,,,,Linha 1,,{D8091522-E2BC-405B-B7FB-AD9EC4D95E8F}
,,,,Linha 1,,{4F7E9B7B-F06E-4D85-B7A9-81E9BC27730C}
,,,,Linha 1,,{9534DB19-70BA-4A1D-AC8E-7DEE7E4CAEE3}
,,,,Linha 2,,{B19B8369-52CA-4B16-91CD-02DBC9B51C16}
,,,,Linha 2,,{1CE24255-95CD-44BA-82F3-9B6951189523}
,,,,Linha 2,,{9C8A0361-D221-4E53-966E-136D6161E744}
,,,,Linha 2,,{E11ACFA1-B503-408D-AB45-E03075FAB99C}
,,,,Linha 2,,{012D7B1B-0209-4072-A296-85C6B07A0DFB}
,,,,Linha 2,,{631DE76A-837E-4BDC-BCBA-A6AD8A7A9B8B}
,,,,Linha 2,,{305C1116-A7C0-4E32-BB68-EB5BB79C3CB2}
,,,,Linha 2,,{C447906F-B8BE-47D9-A2EA-880BE7FE6264}
,,,,Linha 2,,{DD47CE72-8BFA-42F5-93E8-A0FE293D8E22}
,,,,Linha 2,,{57B78851-764D-40A8-BFCB-00AECDF9B7FB}
,,,,Linha 2,,{77322C72-A75F-4DF3-97D8-C789BECBB427}
,,,,Linha 2,,{4D468594-1E9E-4064-AEC5-DBB900931D2B}
,,,,Linha 2,,{B9FEA15C-76D2-4263-8F81-95E094A958F6}
,,,,Santa Cruz,,{D1F8180E-45EC-44F8-BB16-E144EEA8C7D6}
,,,,Santa Cruz,,{EFB7A9AF-B2B8-4A67-B3C3-F54CCF6BA074}
,,,,Santa Cruz,,{4921B6C7-A7B0-421F-8275-75833C60041C}
,,,,Deodoro/Santa Cruz/Japeri/Belford Roxo/Gramacho,,{4474772E-8601-4E4A-A0A5-5A6128785A3D}
,,,,Deodoro,,{701AC774-6E6C-49A0-AA95-C6E4F7EE59B0}
,,,,Deodoro,,{B3B59595-CEB6-4AD6-8656-4E7834C4D89A}
,,,,Santa Cruz,,{8EC34FDD-936D-4C91-B863-F0072B903E43}
,,,,Deodoro,,{48C4F2F4-2463-4D27-BE55-F031C277ED08}
,,,,Santa Cruz,,{BA53FDE4-4B8D-4A9A-9465-A43A80E1A836}
,,,,Deodoro/Santa Cruz/Japeri/Belford Roxo/Gramacho,,{B0075ABB-A4BC-450B-A80F-C8209F162B08}
,,,,Deodoro,,{BB62CA5D-425A-40DB-A53F-9815493F7A88}
,,,,Santa Cruz,,{45C0CC55-C235-4AE2-8DF7-3D1493A081E3}
,,,,Deodoro,,{1970DBA4-65B3-4AB2-AFAB-F62447009BA7}
,,,,Deodoro,,{A4F36F46-EA51-4562-98E0-E8D94A6CB7AE}
,,,,Deodoro,,{1F3CD988-A855-4F5C-AAD1-3645F1C5A81E}
,,,,Deodoro/Santa Cruz/Japeri,,{501F68BD-AC10-43B7-9C14-FCEDF6A288B3}
,,,,Santa Cruz,,{63DC15DD-9902-482F-BDDA-3B2F54144BFA}
,,,,Deodoro/Santa Cruz/Japeri,,{EDF63318-3F13-4DB7-9AC6-A53092AA37B5}
,,,,Santa Cruz,,{D899DBDA-8317-43BE-AF44-50678D530B52}
,,,,Deodoro,,{40C60836-6A27-451E-A737-474B64DE894B}
,,,,Deodoro,,{840EEED7-91B5-4C0F-BAC4-F34068E9D373}
,,,,Belford Roxo/Gramacho,,{ECCF884B-483B-413A-871F-698E671301E5}
,,,,Deodoro/Santa Cruz/Japeri,,{1E22C9EB-38A2-4AD8-8896-A984EB0892E1}
,,,,Belford Roxo,,{7E3D5B73-8C56-45E5-A4C0-6F27BC940016}
,,,,Belford Roxo,,{BAE3B17A-3D01-41F2-96D2-A06D8B98E124}
,,,,Belford Roxo,,{B71F70C1-F063-4754-8E64-9D540C48D50A}
,,,,Gramacho,,{8BEE3487-6181-4318-A7B1-8A2D02163144}
,,,,Santa Cruz,,{1998E380-5CF3-4209-A6B3-FC96DF66BBD6}
,,,,Deodoro/Santa Cruz/Japeri,,{E7B4E67D-9D46-4796-A383-A23031E65888}
,,,,Belford Roxo,,{9EDCB0CD-A78A-4370-9485-BAA36B896563}
,,,,Santa Cruz,,{5B5F79E8-AD3D-4A85-9032-D5A867BDE274}
,,,,Santa Cruz,,{D20B26E7-23E7-46B9-B7B8-7120087A38B2}
,,,,Santa Cruz,,{4D0919D7-7FD2-460E-8192-20827E510B24}
,,,,Santa Cruz,,{07519E58-61CA-4450-B654-F2ADD5715BD6}
,,,,Santa Cruz,,{302142ED-66CB-4888-BDF4-26802CFE900B}
,,,,Belford Roxo,,{8816ED2C-BDDF-4635-90A3-26ED46697FA8}
,,,,Belford Roxo,,{75D3E0F6-03AC-4543-BA31-BEDD32973C3B}
,,,,Deodoro,,{38AE762C-45A9-4190-A180-40F01A86BEEF}
,,,,Gramacho,,{0050B238-AF2E-482F-8C41-3A86141CF84D}
,,,,Santa Cruz,,{56D0C4E7-4D4F-4439-A61E-0E6F39355920}
,,,,Deodoro,,{35EB9F08-E27C-4357-BB61-54ACEBFE855A}
,,,,Santa Cruz,,{6ECF3AAA-8F85-41A4-8E46-0A5DFB275E2C}
,,,,Deodoro,,{ED504A61-8E56-4F17-992F-99E748C9F6BD}
,,,,Gramacho,,{183FDBF4-E998-4382-9CDC-E0DE96BD4C79}
,,,,Deodoro/Santa Cruz/Japeri,,{34046061-F32F-4CBF-A1D3-6DD8BA7F0161}
,,,,Belford Roxo,,{8BE32CDA-04B2-4CA6-8A3F-3655B204A88C}
,,,,Belford Roxo,,{8AE43A95-4A8F-4D7E-B441-075462484260}
,,,,Gramacho,,{3C2AA2B8-1D92-4760-8541-52A15319B1D6}
,,,,Gramacho,,{5F84661C-88FD-4CBA-B993-2F07EEAA1748}
,,,,Japeri,,{8052FBCE-8927-4F4F-ABC2-8D0FC14148A2}
,,,,Gramacho,,{538FD971-FAA7-4404-9971-85166DAAACAD}
,,,,Belford Roxo,,{981DF30A-DE21-4939-A14A-432AD669D470}
,,,,Gramacho,,{CAFDC612-92E7-4D7A-899F-A8545DD2FF40}
,,,,Gramacho,,{FF30FA18-FA92-4B18-AE4A-635D3F8F4203}
,,,,Japeri,,{1C31216A-09C6-4D95-A0E8-5BECC0A85C86}
,,,,Belford Roxo,,{91A761C5-A98C-4132-8E13-FCE6F58F1C24}
,,,,Gramacho,,{523F7B0C-261D-4AC1-A2EE-1AB66872BC74}
,,,,Gramacho,,{269A0763-02E5-4841-8715-F537ADF06A70}
,,,,Belford Roxo,,{0F2514D4-2473-4673-B42C-9FF39C720243}
,,,,Estrada de Ferro do Corcovado,,{134B54FC-674C-4E08-B3DB-577A66DA82B3}
,,,,Estrada de Ferro do Corcovado,,{E0513A6F-D879-4592-9106-05B160F13A5F}
,,,,Estrada de Ferro do Corcovado,,{50F73F0C-FA1A-4388-AE1A-540A34DC3ABD}
,,,,Bonde Santa Teresa,,{7B74F031-8ABE-4522-AF0F-7DD3916E339B}
,,,,Bonde Santa Teresa,,{3F792BF4-3700-4E1F-8BDA-AEC1BBF487B8}
,,,,Linha 1,,{6C0FA446-634A-411B-83A6-3D583E28E0B1}
