id,stylename,fill,stroke,shape,layername
10,riversstreams,#8fb0cd,#8fb0cd,line.svg,InlandWatersLine
8,ponds,#bbcfe1,#8fb0cd,poly.svg,InlandWatersPoly
14,marshes,,,ripple.png,Marshes
2,buildings,#e3b587,,poly.svg,BuildingsPoly
3,cemeteries,#ccd2aa,#b8c089,poly.svg,Cemeteries
5,neighborhoods,,#766141,dashed_line.svg,NeighborhoodsPoly
6,parks,#ccd2aa,#b8c089,poly.svg,Parks
7,plazas,#fcf9d5,,poly.svg,Plazas
9,railpoint,,,rail.png,BuildingsPoint
11,roads,#f2eee9,#d2c1b3,line.svg,RoadsLine
12,squares,#fcf9d5,#d4c4b6,poly.svg,Squares
1,beaches,,,,LandLine
13,waterline,#8fb0cd,#8fb0cd,line.svg,UtilitiesLine
4,fountains,,,monument.png,UtilitiesPoly
