gid,folder,layer,ssid,geodatabas,featuretyp,creator,repository,earliestda,latestdate,imageviewd,shape_leng,shape_area,latitude,longitude,imageid
1,VisualDocuments,MapsAndPlansPoly,2840588,VisualDocuments,Plan Extent,"Andreatta, Verena","Fondren Library, Rice University, Houston",1875,1876,Plano Comissão dos Melhoramentos (1875-1876),0.358926393338,0.00774548297518,0,0,SS7729935_7729935_8328893
2,VisualDocuments,MapsAndPlansPoly,2840589,VisualDocuments,Plan Extent,"Andreatta, Verena","Fondren Library, Rice University, Houston",1840,1843,Plano Beaurepaire-Rohan (1840-1843),0.358926393338,0.00774548297518,0,0,SS7729935_7729935_8328894
3,VisualDocuments,MapsAndPlansPoly,2589180,VisualDocuments,Plan Extent,"Costa, Lúcio (Brazilian architect, 1902-1998)",Acervo Casa de Lucio Costa,1936,1936,Universidade do Brasil,0.086779261739,0.000444828029251,0,0,SS7729935_7729935_8439440
4,VisualDocuments,MapsAndPlansPoly,2589186,VisualDocuments,Map Extent,"Greiner, Ulrik","Geography and Map Division, Library of Congress, Washington, D.C.",1900,1904,Planta da Cidade do Rio de Janeiro e Subúrbios.,0.434270011757,0.0116676657327,0,0,SS7729935_7729935_8437757
5,VisualDocuments,MapsAndPlansPoly,2589081,VisualDocuments,Map Extent,Unknown,"Arquivo Histórico Ultramarino, Lisbon",1763,1763,"Planta da cidade do Rio de Janeiro, capital dos Estados do Brasil e projecto com que pode ser fortificada.",0.179130602455,0.00197238276444,0,0,SS7729935_7729935_8437646
6,VisualDocuments,MapsAndPlansPoly,2589151,VisualDocuments,Map Extent,"Mattos, Francisco Jaguaribe Gomes de","Geography and Map Division, Library of Congress, Washington, D.C.",1910,1910,Planta da Cidade do Rio de Janeiro..,0.460474019131,0.0129292128345,0,0,SS7729935_7729935_8437658
7,VisualDocuments,MapsAndPlansPoly,2589181,VisualDocuments,Map Extent,"Bicalho, Francisco de Paula","Geography and Map Division, Library of Congress, Washington, D.C.",1935,1937,Obras de Melhoramentos do Porto do Rio de Janeiro,0.234206543978,0.00329420508074,0,0,SS7729935_7729935_8437739
8,VisualDocuments,MapsAndPlansPoly,2589093,VisualDocuments,Map Extent,Air Craft Co.,Arquivo Geral da Cidade do Rio de Janeiro,1928,1928,Mosaico fotográfico do Distrito Federal,0.0671642517736,0.000274414516274,0,0,SS7729935_7729935_8439708
9,VisualDocuments,MapsAndPlansPoly,2589170,VisualDocuments,Map Extent,"Souto, P. S. F.","Mapoteca do Itamaraty, Rio de Janeiro",1812,1817,Planta da Cidade do S. Sebastião do Rio de Janeiro.,0.134242446009,0.00112451554847,0,0,SS7729935_7729935_8437686
10,VisualDocuments,MapsAndPlansPoly,2589120,VisualDocuments,Plan Extent,"Agache, Donat-Alfred","Fondren Library, Rice University",1927,1930,Porta do Brasil. Bairro das Embaixadas,0.0836112171995,0.00036599986263,0,0,SS7729935_7729935_8437653
11,VisualDocuments,MapsAndPlansPoly,2840587,VisualDocuments,Plan Extent,"Andreatta, Verena","Fondren Library, Rice University, Houston",1903,1906,Plano Pereira Passos (1903-1906),0.358926393338,0.00774548297518,0,0,SS7729935_7729935_8328895
12,VisualDocuments,MapsAndPlansPoly,2589152,VisualDocuments,Map Extent,"Junior, R.T. Miranda","Geography and Map Division, Library of Congress, Washington, D.C.",1934,1934,Carta da área definida no artigo primeiro do Decreto 24515 de 1934,0.0972755889802,0.00052749954813,0,0,SS7729935_7729935_8437677
13,VisualDocuments,ImageViewshedsPoly,2596919,VisualDocuments,View Extent,"Malta Campos, Augusto Cesar de (Brazilian photographer, 1864-1957)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Aspecto da bahia do Rio de Janeiro,0.146780087558,0.00124281103787,-22.94986922,-43.154921038,SS7729935_7729935_8316139
14,VisualDocuments,ImageViewshedsPoly,2597189,VisualDocuments,View Extent,"Ferrez, Marc (Brazilian photographer, 1843-1923)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Predio N. 2-4-6,0.00127191512959,0.0000000937776123617,-22.897611306,-43.180378387,SS7729935_7729935_8316141
15,VisualDocuments,ImageViewshedsPoly,2596840,VisualDocuments,View Extent,"Musso, Luiz","Biblioteca Nacional, Rio de Janeiro",1903,1906,Palacio da Presidência,0.00243586637581,0.000000327574186544,-22.926298572,-43.176720748,SS7729935_7729935_8316137
16,VisualDocuments,ImageViewshedsPoly,2597009,VisualDocuments,View Extent,"Malta Campos, Augusto Cesar de (Brazilian photographer, 1864-1957)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Palacio da Presidência da República,0.00207345584399,0.000000262746102038,-22.92550906,-43.176756017,SS7729935_7729935_8328764
17,VisualDocuments,ImageViewshedsPoly,2597014,VisualDocuments,View Extent,"Malta Campos, Augusto Cesar de (Brazilian photographer, 1864-1957)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Trecho da Avenida Beira Mar,0.0175976889492,0.0000192055679,-22.921206408,-43.17527408,SS7729935_7729935_8328767
18,VisualDocuments,ImageViewshedsPoly,2596997,VisualDocuments,View Extent,"Malta Campos, Augusto Cesar de (Brazilian photographer, 1864-1957)","Biblioteca Nacional, Rio de Janeiro",1903,1906,Teatro Municipal,0.00397581262469,0.000000949457273928,-22.909669376,-43.175663266,SS7729935_7729935_8328761
